통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수,,통계연월,통계시도명,통계시군구명,지원구분,지급건수
통합,부산광역시,사하구,생활보조금,,,202503,부산광역시,사하구,생활보조금,2,,202502,부산광역시,사하구,생활보조금,2,,202412,부산광역시,영도구,학용품비,6,,202501,부산광역시,사하구,생활보조금,2
통합,부산광역시,사하구,추가아동양육비,,,202503,부산광역시,사하구,추가아동양육비,219,,202502,부산광역시,사하구,추가아동양육비,212,,202412,부산광역시,부산진구,아동양육비,1655,,202501,부산광역시,사하구,추가아동양육비,215
통합,부산광역시,금정구,아동양육비,,,202503,부산광역시,금정구,아동양육비,803,,202502,부산광역시,금정구,아동양육비,799,,202412,부산광역시,부산진구,추가아동양육비,130,,202501,부산광역시,금정구,아동양육비,799
통합,부산광역시,금정구,추가아동양육비,,,202503,부산광역시,금정구,추가아동양육비,92,,202502,부산광역시,금정구,추가아동양육비,91,,202412,부산광역시,부산진구,학용품비,31,,202501,부산광역시,금정구,추가아동양육비,89
통합,부산광역시,강서구,아동양육비,,,202503,부산광역시,강서구,아동양육비,652,,202502,부산광역시,강서구,아동양육비,669,,202412,부산광역시,동래구,아동양육비,1085,,202501,부산광역시,강서구,아동양육비,664
통합,부산광역시,강서구,추가아동양육비,,,202503,부산광역시,강서구,추가아동양육비,64,,202502,부산광역시,강서구,추가아동양육비,64,,202412,부산광역시,동래구,추가아동양육비,84,,202501,부산광역시,강서구,추가아동양육비,61
통합,부산광역시,연제구,아동양육비,,,202503,부산광역시,연제구,아동양육비,923,,202502,부산광역시,연제구,아동양육비,922,,202412,부산광역시,남구,아동양육비,984,,202501,부산광역시,연제구,아동양육비,933
통합,부산광역시,연제구,생활보조금,,,202503,부산광역시,연제구,생활보조금,2,,202502,부산광역시,연제구,생활보조금,2,,202412,부산광역시,남구,추가아동양육비,94,,202501,부산광역시,연제구,생활보조금,2
통합,부산광역시,연제구,추가아동양육비,,,202503,부산광역시,연제구,추가아동양육비,94,,202502,부산광역시,연제구,추가아동양육비,94,,202412,부산광역시,남구,학용품비,8,,202501,부산광역시,연제구,추가아동양육비,99
통합,부산광역시,수영구,아동양육비,,,202503,부산광역시,수영구,아동양육비,721,,202502,부산광역시,수영구,아동양육비,722,,202412,부산광역시,북구,아동양육비,1631,,202501,부산광역시,수영구,아동양육비,710
통합,부산광역시,수영구,추가아동양육비,,,202503,부산광역시,수영구,추가아동양육비,75,,202502,부산광역시,수영구,추가아동양육비,80,,202412,부산광역시,북구,추가아동양육비,169,,202501,부산광역시,수영구,추가아동양육비,81
통합,부산광역시,사상구,아동양육비,,,202503,부산광역시,사상구,아동양육비,1041,,202502,부산광역시,사상구,아동양육비,1019,,202412,부산광역시,북구,학용품비,9,,202501,부산광역시,사상구,아동양육비,1015
통합,부산광역시,사상구,추가아동양육비,,,202503,부산광역시,사상구,추가아동양육비,115,,202502,부산광역시,사상구,추가아동양육비,112,,202412,부산광역시,해운대구,아동양육비,1712,,202501,부산광역시,사상구,추가아동양육비,114
통합,부산광역시,기장군,아동양육비,,,202503,부산광역시,기장군,아동양육비,1268,,202502,부산광역시,기장군,아동양육비,1258,,202412,부산광역시,해운대구,추가아동양육비,120,,202501,부산광역시,기장군,아동양육비,1240
통합,부산광역시,기장군,추가아동양육비,,,202503,부산광역시,기장군,추가아동양육비,86,,202502,부산광역시,기장군,추가아동양육비,86,,202412,부산광역시,사하구,아동양육비,2111,,202501,부산광역시,기장군,추가아동양육비,90
통합,대구광역시,중구,아동양육비,,,202503,대구광역시,중구,아동양육비,315,,202502,대구광역시,중구,아동양육비,305,,202412,부산광역시,사하구,생활보조금,1,,202501,부산광역시,기장군,학용품비,1
통합,대구광역시,중구,생활보조금,,,202503,대구광역시,중구,생활보조금,2,,202502,대구광역시,중구,생활보조금,2,,202412,부산광역시,사하구,추가아동양육비,219,,202501,대구광역시,중구,아동양육비,303
통합,대구광역시,중구,추가아동양육비,,,202503,대구광역시,중구,추가아동양육비,36,,202502,대구광역시,중구,추가아동양육비,34,,202412,부산광역시,사하구,학용품비,7,,202501,대구광역시,중구,생활보조금,2
통합,대구광역시,동구,아동양육비,,,202503,대구광역시,동구,아동양육비,1612,,202502,대구광역시,동구,아동양육비,1608,,202412,부산광역시,금정구,아동양육비,891,,202501,대구광역시,중구,추가아동양육비,32
통합,대구광역시,동구,추가아동양육비,,,202503,대구광역시,동구,추가아동양육비,152,,202502,대구광역시,동구,추가아동양육비,156,,202412,부산광역시,금정구,추가아동양육비,90,,202501,대구광역시,동구,아동양육비,1591
통합,대구광역시,서구,아동양육비,,,202503,대구광역시,서구,아동양육비,1106,,202502,대구광역시,서구,아동양육비,1098,,202412,부산광역시,금정구,학용품비,2,,202501,대구광역시,동구,추가아동양육비,157
